id;Название_ru;Name_en;id_станции;Направление;lat;lon
20123;ул. Чертановская, трамвайная остановка;ul. Chertanovskaja, tramway stop;148;both;55.6404382;37.60555173
20124;"ул. Чертановская, ТЦ ""Каспий""";"ul. Chertanovskaja, shopping mall ""Kaspij""";148;both;55.6406907;37.60508556
20125;"ТЦ ""Штаер""";"shopping mall ""Shtaer""";148;in;55.6398992;37.60801711
20126;Балаклавский пр-т, ул. Старобалаклавская;Balaklavskij prospekt, ul. Starobalaklavskaja;148;both;55.64168269;37.6048289
20127;"Балаклавский пр-т, ТЦ ""Нептун""";"Balaklavskij prospekt, shopping mall ""Neptun""";148;both;55.64112079;37.60452229
20128;Симферопольский б-р, Черноморский б-р;Simferopol'skij boulevard, Chernomorskij boulevard;148;both;55.64186166;37.60517158
20140;"Страстной бульвар, к/т ""Пушкинский""";"Strastnoj boulevard, cinema ""Pushkinskij""";119;both;55.76588454;37.60777165
20141;"Страстной бульвар, к/т ""Пушкинский""";"Strastnoj boulevard, cinema ""Pushkinskij""";139;both;55.76588454;37.60777165
20150;Страстной бульвар, Малый и Большой Путинковский пер.;Strastnoj boulevard, Malyj and Bol'shoj Putinkovskij per.;119;both;55.76608564;37.60822663
20151;Страстной бульвар, Малый и Большой Путинковский пер.;Strastnoj boulevard, Malyj and Bol'shoj Putinkovskij per.;139;both;55.76608564;37.60822663
20160;Страстной бульвар, ул. Большая Дмитровка;Strastnoj boulevard, ul. Bol'shaja Dmitrovka;139;both;55.76579151;37.60853731
20161;Страстной бульвар, ул. Большая Дмитровка;Strastnoj boulevard, ul. Bol'shaja Dmitrovka;119;both;55.76579151;37.60853731
20162;Страстной бульвар;Strastnoj boulevard;139;both;55.76556675;37.6080215
20163;Страстной бульвар;Strastnoj boulevard;119;both;55.76556675;37.6080215
20170;Чистопрудный бульвар, памятник Грибоедову;Chistoprudnyj boulevard, pamjatnik Griboedovu;8;out;55.76479737;37.63858838
20171;Чистопрудный бульвар, памятник Грибоедову;Chistoprudnyj boulevard, pamjatnik Griboedovu;8;in;55.76479737;37.63858838
20172;Чистопрудный бульвар, памятник Грибоедову;Chistoprudnyj boulevard, pamjatnik Griboedovu;95;out;55.76479737;37.63858838
20173;Чистопрудный бульвар, памятник Грибоедову;Chistoprudnyj boulevard, pamjatnik Griboedovu;95;in;55.76479737;37.63858838
20174;ул. Мясницкая, площадь Мясницкие ворота;ul. Mjasnickaja, square Mjasnickie vorota;8;out;55.76495307;37.6382798
20175;ул. Мясницкая, площадь Мясницкие ворота;ul. Mjasnickaja, square Mjasnickie vorota;8;in;55.76495307;37.6382798
20176;ул. Мясницкая, площадь Мясницкие ворота;ul. Mjasnickaja, square Mjasnickie vorota;95;out;55.76495307;37.6382798
20177;ул. Мясницкая, площадь Мясницкие ворота;ul. Mjasnickaja, square Mjasnickie vorota;95;in;55.76495307;37.6382798
